Target,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,CAT
344.2,9965,2436,1352,2,6,3,1,1,1,0,No
412.6,6590,3108,1976,2,10,4,2,1,1,0,Yes
330.1,7500,2294,1371,2,8,4,1,1,1,0,No
498.6,13773,5032,2608,1,9,5,1,1,1,1,No
331.5,5000,2370,1438,2,7,3,2,0,1,0,No
337.4,5142,2124,1060,1,6,3,1,0,1,1,Some
359.4,5000,3220,1916,2,7,3,1,1,1,0,No
320.4,10000,2208,1200,1,6,3,1,0,1,0,No
333.5,6835,2582,1092,1,5,3,1,0,1,1,Yes
409.4,5093,4818,2992,2,8,4,2,0,1,0,No
313,5000,2624,1485,1.5,6,3,2,0,1,1,No
344.5,6768,2844,1460,1.5,6,3,2,0,1,1,No
315.5,5000,2196,1290,2,6,3,1,0,1,0,No
575,12288,4616,2378,2,9,4,2,1,1,1,No
326.2,5000,2536,1272,1.5,6,3,1,1,1,1,No
298.2,5000,2129,864,1,7,3,2,0,1,0,No
313.1,6949,2612,1438,1.5,7,3,1,1,1,0,Some
344.9,10000,2099,1445,1,7,3,1,1,1,1,No
330.7,5000,2408,1470,2,7,3,1,0,1,0,No
348,9001,2840,1632,2,7,3,1,0,1,0,No
317.5,4450,1400,1232,2,7,3,1,0,1,0,No
330.8,5000,2560,1302,1.5,6,2,1,0,1,0,Yes
357.8,12255,2631,1275,1.5,6,3,1,1,1,1,No
414.7,12972,3796,2054,1.5,6,3,3,0,1,0,No
318.8,4717,2512,1371,2,7,3,1,1,1,0,No
346.2,5000,2655,1541,2,7,3,1,0,1,0,No
245.1,4142,1892,927,1.5,5,2,1,0,1,0,No
317.4,5000,2596,1244,1.5,7,3,1,0,1,0,No
247.3,4012,1994,1048,1.5,6,3,1,0,1,0,No
320.8,13275,1516,808,1.5,6,2,1,1,1,0,No
328.8,4717,2824,1469,1.5,6,3,2,0,1,0,No
293.6,4289,2286,1436,2,7,3,1,0,1,0,No
280.1,10688,3014,1625,2,7,4,1,0,1,0,No
342.5,4717,2802,1620,2,7,3,1,1,1,0,No
337.2,5000,3112,1906,2,9,4,2,0,1,0,No
336.5,6842,2269,1393,2,6,3,2,0,1,0,No
315.6,6675,2392,1394,1.5,6,2,2,0,1,0,No
296.5,5683,2982,1452,1,6,3,1,1,1,1,No
239.7,5450,2112,960,1,5,3,1,0,1,1,No
318.4,4717,3222,1803,1,7,3,1,1,1,0,No
431.5,6733,2880,1792,2,7,3,2,1,1,1,Some
349.8,7242,2496,1460,2,7,3,1,1,1,0,No
344,5683,3136,1870,2,9,4,2,0,1,1,No
358.3,6138,2500,1690,2,7,3,1,1,1,0,No
346.2,11250,2830,1391,1.5,6,3,1,0,1,0,Some
490.7,5683,4100,2640,2,6,3,1,1,1,1,Yes
371.9,7001,2320,1500,2,7,3,2,1,1,1,No
325.3,4717,2592,1572,2,7,3,1,1,1,0,No
340.5,8489,2368,1326,1.5,6,3,1,1,1,1,No
432.5,7139,2340,1500,2,7,3,2,1,1,0,No
334.7,4584,3288,1694,2,7,3,1,1,1,0,No
314.3,7193,2740,1508,2,7,3,1,0,1,0,No
405.5,3867,2431,1560,2,7,3,2,1,1,1,No
326,4262,2090,1300,2,7,3,1,1,1,1,No
285.6,5325,3060,1364,1,5,2,1,0,1,1,No
345.9,8005,2490,1562,2,7,3,1,1,1,1,No
317.3,7234,2289,1440,2,7,3,1,0,1,0,No
277.8,5959,2036,1018,1,5,3,1,1,1,1,No
306.8,7785,2038,1056,1.5,6,3,1,0,1,0,No
265.7,3887,2364,1075,1,6,3,2,0,1,1,Some
356.8,5906,2368,2051,1,8,4,1,1,1,2,No
299.9,5401,1800,1800,2,6,3,1,1,1,1,No
287.8,3204,1800,1800,2,6,3,1,1,1,1,No
296,2947,1800,1800,2,6,3,1,1,1,1,No
300.6,4241,1800,1800,2,6,3,1,1,1,1,No
566.3,8249,4390,2708,2,8,4,2,1,1,1,No
286,7655,3013,1318,1.5,7,3,1,0,1,0,No
